age,height_cm,weight_kg,work_rate_att,overall
25,184.0,80.0,Medium,85
26,163.0,59.0,High,85
25,178.0,74.0,High,85
26,175.0,73.0,High,85
30,185.0,78.0,Medium,85
28,177.0,75.0,High,85
32,191.0,84.0,Medium,85
25,190.0,83.0,Medium,85
25,187.0,85.0,Medium,85
29,190.0,80.0,Low,85
28,170.0,68.0,High,85
26,180.0,80.0,High,85
27,178.0,78.0,Medium,85
29,180.0,75.0,High,85
27,180.0,70.0,Medium,85
31,180.0,73.0,High,85
30,189.0,88.0,High,85
30,175.0,70.0,High,85
30,188.0,93.0,Medium,85
31,182.0,73.0,High,85
31,193.0,85.0,Medium,85
36,187.0,87.0,Low,85
23,187.0,77.0,Medium,84
21,180.0,75.0,Medium,84
22,173.0,64.0,Medium,84
23,189.0,85.0,Medium,84
21,188.0,80.0,High,84
25,175.0,69.0,High,84
25,173.0,73.0,High,84
23,187.0,72.0,Medium,84
24,181.0,75.0,Medium,84
26,195.0,89.0,High,84
24,192.0,90.0,Medium,84
26,189.0,83.0,Low,84
25,184.0,82.0,Medium,84
27,182.0,70.0,High,84
28,194.0,85.0,Medium,84
27,186.0,78.0,High,84
29,169.0,65.0,High,84
26,187.0,85.0,Medium,84
33,184.0,73.0,Medium,84
28,187.0,80.0,High,84
31,193.0,84.0,Medium,84
28,175.0,77.0,High,84
30,189.0,89.0,High,84
28,196.0,95.0,Medium,84
28,189.0,87.0,Medium,84
29,170.0,63.0,Medium,84
30,190.0,92.0,Medium,84
31,177.0,72.0,High,84
31,186.0,75.0,Medium,84
31,193.0,86.0,Medium,84
34,172.0,68.0,High,84
29,165.0,68.0,High,84
36,182.0,78.0,High,84
18,178.0,73.0,High,83
20,178.0,67.0,High,83
22,172.0,64.0,High,83
22,185.0,76.0,Medium,83
25,189.0,84.0,Medium,83
21,170.0,58.0,High,83
24,179.0,73.0,Medium,83
21,195.0,97.0,Medium,83
23,188.0,86.0,Medium,83
22,189.0,79.0,High,83
23,188.0,78.0,Medium,83
25,175.0,71.0,High,83
23,181.0,72.0,High,83
25,179.0,78.0,High,83
23,183.0,75.0,Medium,83
25,187.0,83.0,Medium,83
23,182.0,75.0,Medium,83
26,179.0,67.0,Medium,83
25,193.0,92.0,High,83
25,181.0,76.0,High,83
25,188.0,83.0,Medium,83
27,184.0,80.0,High,83
26,184.0,81.0,Medium,83
25,189.0,78.0,Medium,83
24,188.0,77.0,Medium,83
25,195.0,90.0,Medium,83
27,174.0,66.0,Medium,83
29,176.0,67.0,High,83
27,185.0,85.0,High,83
29,183.0,81.0,High,83
28,187.0,78.0,High,83
28,182.0,74.0,Medium,83
28,175.0,68.0,Medium,83
27,181.0,75.0,High,83
28,196.0,89.0,Medium,83
27,183.0,83.0,High,83
25,179.0,67.0,Medium,83
28,190.0,75.0,Medium,83
26,180.0,73.0,Medium,83
27,186.0,83.0,Medium,83
30,178.0,73.0,High,83
28,175.0,69.0,Medium,83
30,163.0,61.0,High,83
29,173.0,68.0,Medium,83
31,190.0,86.0,High,83
29,172.0,73.0,High,83
29,187.0,82.0,Medium,83
29,174.0,71.0,Medium,83
29,190.0,84.0,Medium,83
28,183.0,79.0,Medium,83
30,175.0,77.0,High,83
27,185.0,75.0,Medium,83
33,182.0,74.0,High,83
32,184.0,79.0,Medium,83
30,189.0,90.0,Medium,83
31,180.0,83.0,High,83
30,189.0,89.0,Medium,83
29,185.0,88.0,Medium,83
32,175.0,73.0,Medium,83
31,181.0,80.0,Medium,83
31,178.0,63.0,Medium,83
35,196.0,89.0,Medium,83
32,168.0,66.0,High,83
33,174.0,73.0,Medium,83
33,170.0,72.0,Medium,83
30,177.0,68.0,High,83
33,184.0,83.0,Medium,83
34,188.0,92.0,Medium,83
33,175.0,67.0,High,83
34,189.0,90.0,Medium,83
36,185.0,84.0,Medium,83
18,196.0,90.0,Medium,82
21,183.0,75.0,High,82
22,189.0,85.0,Medium,82
22,181.0,78.0,High,82
23,173.0,78.0,Medium,82
25,168.0,65.0,High,82
22,181.0,80.0,High,82
21,192.0,92.0,Medium,82
23,183.0,75.0,High,82
21,180.0,75.0,High,82
23,188.0,84.0,Medium,82
21,181.0,76.0,Medium,82
25,174.0,72.0,High,82
26,173.0,70.0,High,82
22,181.0,70.0,Medium,82
28,185.0,77.0,Medium,82
30,181.0,77.0,Medium,82
28,186.0,82.0,Medium,82
23,178.0,77.0,High,82
23,194.0,88.0,Medium,82
25,178.0,71.0,Medium,82
24,190.0,85.0,Medium,82
24,179.0,70.0,High,82
26,187.0,79.0,Medium,82
26,182.0,79.0,Medium,82
28,171.0,74.0,High,82
26,173.0,67.0,High,82
24,179.0,70.0,High,82
27,183.0,80.0,High,82
22,170.0,69.0,High,82
23,176.0,70.0,High,82
23,177.0,73.0,High,82
23,188.0,90.0,Medium,82
27,187.0,80.0,Medium,82
24,172.0,72.0,Medium,82
24,183.0,77.0,High,82
29,192.0,88.0,Medium,82
24,185.0,82.0,Medium,82
27,170.0,64.0,High,82
27,177.0,72.0,High,82
25,189.0,93.0,Medium,82
27,190.0,83.0,High,82
27,187.0,82.0,Medium,82
29,171.0,71.0,Low,82
28,185.0,78.0,Medium,82
25,169.0,72.0,High,82
29,179.0,71.0,High,82
26,170.0,65.0,Medium,82
26,175.0,67.0,High,82
29,190.0,91.0,Medium,82
26,184.0,87.0,Medium,82
29,172.0,64.0,Medium,82
29,174.0,69.0,Medium,82
28,181.0,80.0,Medium,82
26,189.0,88.0,Low,82
26,183.0,76.0,High,82
27,196.0,85.0,Medium,82
27,186.0,77.0,High,82
27,175.0,66.0,Medium,82
28,192.0,83.0,Medium,82
27,182.0,67.0,High,82
29,180.0,76.0,Medium,82
31,190.0,81.0,Medium,82
28,183.0,80.0,Low,82
31,190.0,84.0,Medium,82
31,192.0,84.0,High,82
26,175.0,69.0,High,82
30,195.0,85.0,Medium,82
30,192.0,88.0,Medium,82
33,185.0,91.0,High,82
29,175.0,73.0,Medium,82
30,177.0,76.0,Medium,82
28,185.0,81.0,High,82
28,186.0,73.0,Medium,82
30,173.0,70.0,Medium,82
34,184.0,80.0,Medium,82
30,199.0,83.0,Medium,82
34,198.0,91.0,High,82
27,180.0,76.0,Medium,82
26,174.0,76.0,Medium,82
28,177.0,77.0,High,82
31,195.0,90.0,Medium,82
30,172.0,74.0,Medium,82
30,175.0,75.0,High,82
32,183.0,77.0,Medium,82
32,170.0,74.0,High,82
30,189.0,82.0,Medium,82
30,170.0,61.0,High,82
29,187.0,88.0,Medium,82
31,190.0,82.0,Low,82
30,196.0,91.0,Medium,82
31,189.0,88.0,High,82
32,180.0,72.0,High,82
32,174.0,69.0,High,82
30,175.0,76.0,High,82
32,179.0,67.0,Medium,82
35,175.0,69.0,High,82
33,182.0,75.0,High,82
32,190.0,82.0,Medium,82
19,185.0,70.0,High,81
20,175.0,73.0,High,81
23,177.0,67.0,High,81
22,173.0,65.0,High,81
20,171.0,75.0,High,81
21,186.0,72.0,Medium,81
21,187.0,79.0,Medium,81
29,188.0,83.0,High,81
26,177.0,73.0,Medium,81
24,181.0,68.0,High,81
23,186.0,77.0,High,81
27,180.0,75.0,Medium,81
21,188.0,78.0,Low,81
22,176.0,70.0,High,81
22,173.0,70.0,High,81
22,183.0,72.0,High,81
22,188.0,71.0,High,81
23,170.0,71.0,Medium,81
30,179.0,74.0,High,81
24,180.0,70.0,High,81
24,191.0,82.0,Medium,81
25,180.0,65.0,Medium,81
22,178.0,74.0,High,81
24,196.0,95.0,Medium,81
26,186.0,84.0,High,81
25,190.0,88.0,High,81
24,175.0,70.0,High,81
24,174.0,71.0,Medium,81
27,179.0,75.0,Medium,81
28,185.0,83.0,Medium,81
25,178.0,68.0,Medium,81
26,170.0,68.0,High,81
28,180.0,73.0,High,81
23,189.0,76.0,Medium,81
26,182.0,73.0,Medium,81
24,180.0,66.0,High,81
26,184.0,73.0,High,81
24,176.0,76.0,High,81
26,196.0,92.0,Medium,81
27,186.0,85.0,Medium,81
26,178.0,67.0,High,81
27,188.0,84.0,Medium,81
27,177.0,75.0,Medium,81
26,187.0,80.0,High,81
24,180.0,77.0,Medium,81
24,173.0,62.0,High,81
26,182.0,74.0,High,81
26,188.0,84.0,High,81
25,176.0,75.0,Medium,81
27,190.0,80.0,Medium,81
27,179.0,75.0,Medium,81
28,182.0,78.0,High,81
27,194.0,81.0,Medium,81
25,172.0,68.0,Medium,81
27,180.0,74.0,Medium,81
24,167.0,59.0,Medium,81
26,189.0,88.0,Medium,81
27,177.0,74.0,High,81
27,183.0,75.0,Medium,81
28,181.0,81.0,High,81
29,187.0,80.0,High,81
27,172.0,68.0,High,81
28,179.0,70.0,Medium,81
32,184.0,75.0,High,81
29,188.0,89.0,Medium,81
27,187.0,83.0,Medium,81
31,190.0,90.0,Medium,81
27,183.0,79.0,High,81
28,177.0,67.0,High,81
28,189.0,90.0,Low,81
30,191.0,88.0,Medium,81
32,167.0,63.0,High,81
29,193.0,87.0,Medium,81
30,188.0,80.0,Low,81
29,182.0,72.0,High,81
30,169.0,67.0,Medium,81
30,184.0,81.0,High,81
32,191.0,81.0,Medium,81
32,185.0,82.0,Medium,81
31,188.0,86.0,Medium,81
30,178.0,74.0,Medium,81
33,188.0,85.0,Medium,81
31,187.0,89.0,Medium,81
33,180.0,74.0,Medium,81
33,182.0,79.0,Medium,81
35,178.0,72.0,High,81
32,183.0,79.0,Medium,81
35,187.0,93.0,Medium,81
33,189.0,82.0,Medium,81
31,176.0,83.0,Medium,81
32,198.0,90.0,Low,81
34,187.0,83.0,Medium,81
33,186.0,78.0,Medium,81
36,179.0,75.0,Medium,81
22,191.0,76.0,High,80
20,176.0,72.0,Medium,80
24,184.0,77.0,Medium,80
22,173.0,69.0,Medium,80
22,187.0,78.0,Medium,80
24,191.0,91.0,Medium,80
24,181.0,71.0,High,80
21,183.0,82.0,Medium,80
23,182.0,72.0,High,80
22,190.0,82.0,Low,80
22,180.0,73.0,Medium,80
22,182.0,67.0,Medium,80
23,180.0,75.0,Medium,80
23,175.0,70.0,High,80
21,171.0,69.0,High,80
24,169.0,64.0,High,80
27,185.0,75.0,Medium,80
23,184.0,82.0,High,80
25,180.0,75.0,High,80
24,183.0,85.0,Medium,80
23,180.0,75.0,Medium,80
22,188.0,83.0,Medium,80
24,181.0,79.0,High,80
27,181.0,75.0,Medium,80
26,173.0,73.0,High,80
24,181.0,72.0,Medium,80
24,188.0,83.0,Low,80
23,176.0,69.0,Medium,80
23,185.0,86.0,Medium,80
24,193.0,78.0,Medium,80
25,183.0,73.0,High,80
29,192.0,89.0,Low,80
24,189.0,87.0,Medium,80
24,174.0,69.0,High,80
27,180.0,73.0,High,80
24,182.0,74.0,High,80
26,188.0,80.0,High,80
29,190.0,79.0,Medium,80
24,179.0,81.0,High,80
26,175.0,74.0,Medium,80
30,185.0,81.0,High,80
28,181.0,76.0,Medium,80
26,179.0,79.0,High,80
25,174.0,70.0,High,80
23,175.0,70.0,High,80
26,188.0,77.0,Medium,80
24,180.0,75.0,Medium,80
27,180.0,70.0,High,80
25,185.0,71.0,Medium,80
27,181.0,77.0,High,80
27,190.0,84.0,Medium,80
26,173.0,69.0,High,80
27,180.0,78.0,Medium,80
26,182.0,76.0,Medium,80
26,184.0,73.0,High,80
28,187.0,76.0,Low,80
24,195.0,94.0,Medium,80
26,182.0,77.0,High,80
25,194.0,85.0,Medium,80
31,168.0,64.0,High,80
26,181.0,74.0,High,80
28,191.0,89.0,Medium,80
26,173.0,77.0,High,80
27,180.0,72.0,Medium,80
24,178.0,72.0,High,80
27,178.0,80.0,High,80
27,174.0,69.0,Medium,80
28,187.0,75.0,High,80
27,186.0,86.0,High,80
28,180.0,80.0,Medium,80
29,181.0,74.0,High,80
26,180.0,72.0,Medium,80
27,179.0,75.0,High,80
27,184.0,78.0,Medium,80
27,187.0,80.0,High,80
26,185.0,73.0,High,80
29,187.0,78.0,Medium,80
28,187.0,79.0,Medium,80
27,182.0,70.0,Low,80
29,193.0,84.0,Medium,80
26,190.0,83.0,Medium,80
29,171.0,61.0,High,80
27,185.0,83.0,High,80
29,178.0,73.0,High,80
30,179.0,72.0,High,80
30,191.0,84.0,Medium,80
31,179.0,72.0,High,80
28,185.0,81.0,Medium,80
31,178.0,74.0,Medium,80
30,184.0,74.0,High,80
32,180.0,76.0,High,80
30,184.0,81.0,Medium,80
30,183.0,73.0,High,80
30,186.0,86.0,Medium,80
30,187.0,77.0,Medium,80
29,183.0,80.0,Medium,80
30,192.0,87.0,Medium,80
30,180.0,70.0,Medium,80
30,183.0,75.0,High,80
28,181.0,74.0,Medium,80
27,172.0,74.0,High,80
25,181.0,80.0,High,80
27,179.0,85.0,High,80
29,186.0,86.0,Medium,80
31,192.0,87.0,Medium,80
30,178.0,75.0,High,80
32,183.0,72.0,High,80
31,182.0,81.0,Medium,80
31,190.0,80.0,Low,80
28,176.0,68.0,Medium,80
32,190.0,83.0,Medium,80
34,193.0,90.0,Medium,80
32,188.0,82.0,Medium,80
32,179.0,78.0,Medium,80
31,184.0,77.0,Medium,80
31,176.0,75.0,Medium,80
32,192.0,84.0,High,80
32,182.0,83.0,Medium,80
33,182.0,75.0,Medium,80
33,173.0,78.0,High,80
33,193.0,79.0,Medium,80
34,184.0,87.0,Medium,80
34,188.0,83.0,Medium,80
35,186.0,83.0,High,80
31,175.0,70.0,High,80
34,187.0,83.0,High,80
31,187.0,82.0,Medium,80
33,189.0,84.0,High,80
33,186.0,86.0,Medium,80
34,180.0,87.0,Medium,80
34,171.0,65.0,Medium,80
37,186.0,79.0,Medium,80
35,188.0,74.0,Low,80
23,175.0,63.0,High,79
20,181.0,78.0,High,79
26,187.0,82.0,High,79
28,187.0,86.0,Medium,79
24,180.0,78.0,High,79
25,172.0,69.0,Medium,79
22,187.0,80.0,Medium,79
23,181.0,84.0,Medium,79
22,186.0,81.0,Medium,79
21,177.0,69.0,High,79
25,182.0,70.0,High,79
25,193.0,82.0,Medium,79
24,178.0,74.0,Medium,79
27,183.0,83.0,Medium,79
21,178.0,71.0,Medium,79
26,192.0,85.0,Medium,79
22,180.0,75.0,High,79
23,186.0,75.0,Medium,79
23,191.0,80.0,High,79
22,189.0,88.0,High,79
21,173.0,68.0,High,79
22,172.0,66.0,High,79
23,170.0,60.0,High,79
22,184.0,80.0,Medium,79
24,172.0,67.0,High,79
23,182.0,70.0,Medium,79
23,182.0,74.0,High,79
22,185.0,75.0,Medium,79
22,175.0,63.0,Medium,79
23,178.0,76.0,Medium,79
21,181.0,73.0,High,79
23,173.0,70.0,High,79
23,184.0,74.0,High,79
21,175.0,75.0,High,79
21,185.0,75.0,High,79
24,182.0,76.0,Medium,79
27,172.0,63.0,Medium,79
24,164.0,60.0,High,79
25,182.0,70.0,High,79
23,186.0,78.0,Medium,79
24,170.0,67.0,High,79
24,186.0,82.0,Medium,79
24,181.0,69.0,Medium,79
22,190.0,96.0,Medium,79
26,191.0,76.0,High,79
26,184.0,87.0,Medium,79
23,188.0,75.0,High,79
25,175.0,80.0,Medium,79
23,176.0,78.0,High,79
28,189.0,83.0,Medium,79
26,196.0,85.0,Medium,79
25,175.0,68.0,Medium,79
24,180.0,75.0,High,79
25,182.0,78.0,Medium,79
26,187.0,79.0,Low,79
26,171.0,64.0,High,79
25,172.0,67.0,High,79
27,183.0,78.0,Low,79
25,184.0,73.0,High,79
24,182.0,71.0,High,79
27,178.0,78.0,Medium,79
23,178.0,74.0,High,79
23,175.0,71.0,High,79
28,188.0,78.0,Medium,79
26,169.0,65.0,Medium,79
26,190.0,83.0,High,79
25,185.0,79.0,High,79
25,183.0,83.0,Medium,79
30,175.0,72.0,High,79
25,185.0,76.0,Medium,79
25,186.0,81.0,High,79
26,179.0,70.0,Medium,79
26,189.0,89.0,Medium,79
25,190.0,88.0,Medium,79
30,190.0,80.0,Medium,79
25,172.0,68.0,Medium,79
28,180.0,71.0,High,79
29,171.0,62.0,High,79
27,176.0,72.0,High,79
25,179.0,72.0,Medium,79
26,175.0,67.0,High,79
30,186.0,84.0,Medium,79
26,189.0,88.0,Medium,79
25,182.0,74.0,High,79
26,180.0,74.0,High,79
29,192.0,84.0,Medium,79
29,177.0,76.0,High,79
28,182.0,88.0,Medium,79
24,169.0,63.0,High,79
27,193.0,86.0,Medium,79
26,178.0,74.0,Medium,79
28,190.0,81.0,Medium,79
27,177.0,75.0,Medium,79
28,192.0,86.0,Medium,79
29,179.0,71.0,Medium,79
32,183.0,75.0,High,79
28,178.0,70.0,High,79
28,185.0,82.0,Medium,79
27,168.0,65.0,High,79
28,188.0,83.0,Medium,79
27,177.0,70.0,Medium,79
31,187.0,83.0,High,79
31,177.0,69.0,Medium,79
27,177.0,75.0,High,79
25,185.0,87.0,Low,79
29,194.0,92.0,Medium,79
28,163.0,63.0,High,79
29,181.0,73.0,Medium,79
29,191.0,86.0,High,79
31,192.0,93.0,Medium,79
30,181.0,84.0,High,79
28,179.0,73.0,Medium,79
30,191.0,85.0,Medium,79
30,175.0,69.0,High,79
29,185.0,67.0,Medium,79
30,196.0,97.0,Medium,79
30,186.0,81.0,Medium,79
29,183.0,74.0,Medium,79
26,170.0,65.0,High,79
29,194.0,85.0,Medium,79
31,187.0,85.0,Medium,79
27,176.0,72.0,Medium,79
28,183.0,80.0,Medium,79
28,190.0,87.0,Medium,79
30,179.0,78.0,Medium,79
29,172.0,69.0,High,79
30,181.0,76.0,High,79
26,177.0,79.0,Medium,79
30,177.0,74.0,High,79
30,186.0,79.0,Medium,79
31,178.0,75.0,High,79
33,187.0,81.0,Medium,79
28,180.0,73.0,Medium,79
30,179.0,66.0,High,79
29,191.0,76.0,Medium,79
29,188.0,77.0,Medium,79
30,192.0,80.0,Medium,79
31,180.0,77.0,High,79
31,174.0,70.0,Medium,79
33,184.0,76.0,Medium,79
33,181.0,74.0,Medium,79
30,183.0,79.0,Medium,79
30,188.0,83.0,Medium,79
34,170.0,68.0,Medium,79
31,174.0,76.0,Medium,79
31,184.0,77.0,High,79
27,183.0,72.0,High,79
36,195.0,91.0,Low,79
35,189.0,87.0,Medium,79
31,186.0,82.0,Medium,79
33,176.0,70.0,Medium,79
32,177.0,72.0,High,79
33,187.0,76.0,Medium,79
31,186.0,82.0,Medium,79
33,190.0,84.0,Medium,79
32,178.0,74.0,High,79
31,185.0,78.0,Medium,79
35,186.0,80.0,Medium,79
33,171.0,72.0,High,79
33,184.0,84.0,Medium,79
33,176.0,77.0,Medium,79
36,191.0,91.0,Medium,79
32,191.0,85.0,Medium,79
36,174.0,75.0,Medium,79
38,186.0,85.0,Medium,79
35,179.0,75.0,High,79
36,179.0,72.0,Medium,79
36,183.0,78.0,Medium,79
36,170.0,72.0,Medium,79
25,189.0,80.0,Medium,78
21,185.0,79.0,High,78
19,187.0,82.0,Medium,78
22,183.0,78.0,Medium,78
18,172.0,69.0,Medium,78
20,185.0,83.0,Medium,78
21,187.0,91.0,Medium,78
21,168.0,58.0,Medium,78
24,186.0,77.0,High,78
22,173.0,70.0,Medium,78
28,190.0,86.0,High,78
23,166.0,62.0,High,78
20,182.0,80.0,Medium,78
25,179.0,77.0,High,78
22,182.0,80.0,High,78
20,176.0,65.0,Medium,78
21,175.0,70.0,High,78
27,187.0,81.0,Medium,78
22,189.0,77.0,Medium,78
25,187.0,81.0,Medium,78
21,180.0,70.0,High,78
25,187.0,79.0,Medium,78
24,171.0,75.0,High,78
21,177.0,71.0,Medium,78
23,189.0,84.0,Medium,78
24,171.0,66.0,High,78
23,183.0,76.0,Medium,78
29,180.0,70.0,Medium,78
25,173.0,70.0,High,78
25,192.0,87.0,Medium,78
24,184.0,79.0,High,78
26,189.0,88.0,Medium,78
27,175.0,75.0,High,78
27,188.0,82.0,Medium,78
24,179.0,75.0,Low,78
23,183.0,77.0,Medium,78
24,178.0,68.0,High,78
22,185.0,75.0,High,78
22,190.0,81.0,Medium,78
25,178.0,69.0,Medium,78
22,174.0,64.0,High,78
22,179.0,69.0,High,78
23,190.0,77.0,Medium,78
29,173.0,65.0,High,78
24,170.0,65.0,High,78
26,187.0,82.0,Medium,78
28,174.0,69.0,High,78
27,178.0,72.0,High,78
24,187.0,85.0,Medium,78
24,185.0,75.0,High,78
26,185.0,89.0,Medium,78
24,184.0,82.0,High,78
21,178.0,71.0,High,78
28,189.0,84.0,Medium,78
24,182.0,69.0,High,78
27,186.0,71.0,Medium,78
24,170.0,69.0,High,78
23,188.0,83.0,Medium,78
24,175.0,62.0,High,78
23,176.0,67.0,High,78
26,179.0,74.0,High,78
26,181.0,78.0,High,78
23,189.0,87.0,Medium,78
28,180.0,80.0,High,78
22,173.0,66.0,Medium,78
29,169.0,63.0,Medium,78
23,177.0,74.0,High,78
22,185.0,85.0,High,78
26,187.0,81.0,High,78
26,187.0,75.0,High,78
26,185.0,85.0,Medium,78
22,184.0,78.0,High,78
24,183.0,70.0,High,78
25,172.0,73.0,High,78
28,166.0,61.0,High,78
25,182.0,81.0,High,78
22,175.0,75.0,Medium,78
22,178.0,70.0,High,78
23,171.0,63.0,High,78
24,199.0,98.0,Medium,78
23,180.0,71.0,Medium,78
25,170.0,68.0,Medium,78
25,181.0,73.0,High,78
26,183.0,77.0,Medium,78
27,183.0,81.0,High,78
24,188.0,80.0,High,78
31,196.0,86.0,Medium,78
28,186.0,76.0,Medium,78
25,184.0,78.0,High,78
27,177.0,78.0,High,78
29,188.0,85.0,Medium,78
26,188.0,86.0,High,78
30,190.0,86.0,Medium,78
26,186.0,78.0,Medium,78
27,187.0,80.0,Medium,78
25,185.0,74.0,Medium,78
26,179.0,75.0,High,78
24,186.0,82.0,High,78
27,174.0,65.0,High,78
25,184.0,78.0,High,78
25,184.0,82.0,High,78
28,171.0,71.0,Medium,78
24,183.0,74.0,High,78
29,186.0,84.0,Medium,78
27,192.0,95.0,Medium,78
26,182.0,77.0,High,78
26,184.0,81.0,High,78
28,170.0,69.0,Medium,78
29,182.0,80.0,Medium,78
24,171.0,61.0,High,78
31,178.0,77.0,Medium,78
32,178.0,82.0,Medium,78
27,188.0,84.0,High,78
24,191.0,82.0,Medium,78
25,181.0,73.0,High,78
26,182.0,76.0,High,78
26,186.0,81.0,Medium,78
28,187.0,80.0,High,78
25,182.0,77.0,High,78
26,183.0,78.0,High,78
25,197.0,86.0,Medium,78
32,167.0,60.0,High,78
30,178.0,76.0,Medium,78
28,189.0,83.0,Medium,78
25,181.0,76.0,Medium,78
27,186.0,89.0,Medium,78
25,176.0,70.0,High,78
29,182.0,76.0,High,78
26,187.0,84.0,Medium,78
29,185.0,79.0,Low,78
27,180.0,74.0,Medium,78
26,172.0,78.0,High,78
29,183.0,82.0,Medium,78
29,174.0,72.0,Medium,78
28,188.0,80.0,Medium,78
29,179.0,68.0,High,78
28,194.0,92.0,Medium,78
28,188.0,84.0,High,78
27,187.0,82.0,Medium,78
30,182.0,83.0,High,78
27,184.0,77.0,Medium,78
31,183.0,78.0,High,78
29,169.0,67.0,High,78
28,180.0,69.0,High,78
26,182.0,76.0,Medium,78
28,178.0,70.0,Medium,78
26,185.0,74.0,High,78
28,196.0,91.0,Medium,78
30,182.0,81.0,High,78
27,182.0,82.0,Medium,78
28,173.0,75.0,High,78
27,172.0,74.0,High,78
31,182.0,76.0,Medium,78
26,178.0,72.0,High,78
29,171.0,65.0,Medium,78
27,179.0,70.0,High,78
29,183.0,76.0,Medium,78
29,173.0,66.0,High,78
29,191.0,85.0,Medium,78
27,187.0,91.0,Medium,78
30,176.0,69.0,High,78
30,181.0,88.0,High,78
29,183.0,90.0,High,78
30,179.0,72.0,Medium,78
33,173.0,73.0,High,78
28,193.0,79.0,Medium,78
33,185.0,81.0,High,78
29,183.0,84.0,Low,78
30,183.0,78.0,High,78
31,197.0,78.0,Medium,78
28,186.0,79.0,Medium,78
29,184.0,76.0,Medium,78
29,179.0,69.0,High,78
30,183.0,79.0,Medium,78
29,180.0,78.0,Medium,78
29,185.0,85.0,Medium,78
31,180.0,79.0,Medium,78
30,186.0,78.0,Low,78
30,166.0,63.0,Medium,78
31,193.0,93.0,Medium,78
31,186.0,78.0,Medium,78
28,183.0,79.0,Medium,78
31,178.0,72.0,Medium,78
30,179.0,77.0,Medium,78
29,175.0,72.0,Medium,78
28,175.0,74.0,High,78
28,185.0,69.0,Medium,78
36,192.0,92.0,Medium,78
30,185.0,82.0,Medium,78
31,188.0,77.0,High,78
30,186.0,82.0,Medium,78
31,183.0,80.0,Medium,78
29,188.0,79.0,Medium,78
32,172.0,75.0,High,78
34,185.0,77.0,Medium,78
25,188.0,83.0,High,77
28,180.0,74.0,High,77
28,185.0,78.0,Medium,77
24,172.0,69.0,Medium,77
27,201.0,99.0,Medium,77
28,191.0,83.0,Medium,77
27,180.0,76.0,Medium,77
29,166.0,65.0,High,77
26,183.0,75.0,Medium,77
26,177.0,77.0,High,77
18,193.0,82.0,Medium,77
24,189.0,74.0,Medium,77
32,188.0,82.0,Medium,77
32,185.0,78.0,Medium,77
25,178.0,70.0,Medium,77
33,192.0,80.0,Medium,77
32,178.0,70.0,Medium,77
28,191.0,91.0,Medium,77
24,178.0,72.0,Medium,77
34,184.0,81.0,High,77
28,182.0,74.0,Medium,77
23,175.0,70.0,High,77
28,182.0,72.0,Medium,77
29,190.0,85.0,Medium,77
28,176.0,67.0,High,77
28,188.0,85.0,High,77
20,183.0,76.0,High,77
36,183.0,74.0,Low,77
27,182.0,74.0,Medium,77
23,181.0,70.0,High,77
37,191.0,89.0,Low,77
21,170.0,61.0,High,77
20,180.0,73.0,Medium,77
29,185.0,77.0,High,77
36,183.0,81.0,Medium,77
